Series ID,Year,Period,Label,Value
LNU04000000,1991,M01,1991 January,7.1
LNU04000000,1991,M02,1991 February,7.3
LNU04000000,1991,M03,1991 March,7.2
LNU04000000,1991,M04,1991 April,6.5
LNU04000000,1991,M05,1991 May,6.7
LNU04000000,1991,M06,1991 June,7
LNU04000000,1991,M07,1991 July,6.8
LNU04000000,1991,M08,1991 August,6.6
LNU04000000,1991,M09,1991 September,6.5
LNU04000000,1991,M10,1991 October,6.5
LNU04000000,1991,M11,1991 November,6.7
LNU04000000,1991,M12,1991 December,6.9
LNU04000000,1992,M01,1992 January,8.1
LNU04000000,1992,M02,1992 February,8.2
LNU04000000,1992,M03,1992 March,7.8
LNU04000000,1992,M04,1992 April,7.2
LNU04000000,1992,M05,1992 May,7.3
LNU04000000,1992,M06,1992 June,8
LNU04000000,1992,M07,1992 July,7.7
LNU04000000,1992,M08,1992 August,7.4
LNU04000000,1992,M09,1992 September,7.3
LNU04000000,1992,M10,1992 October,6.9
LNU04000000,1992,M11,1992 November,7.1
LNU04000000,1992,M12,1992 December,7.1
LNU04000000,1993,M01,1993 January,8
LNU04000000,1993,M02,1993 February,7.8
LNU04000000,1993,M03,1993 March,7.4
LNU04000000,1993,M04,1993 April,6.9
LNU04000000,1993,M05,1993 May,6.8
LNU04000000,1993,M06,1993 June,7.2
LNU04000000,1993,M07,1993 July,7
LNU04000000,1993,M08,1993 August,6.6
LNU04000000,1993,M09,1993 September,6.4
LNU04000000,1993,M10,1993 October,6.4
LNU04000000,1993,M11,1993 November,6.2
LNU04000000,1993,M12,1993 December,6.1
LNU04000000,1994,M01,1994 January,7.3
LNU04000000,1994,M02,1994 February,7.1
LNU04000000,1994,M03,1994 March,6.8
LNU04000000,1994,M04,1994 April,6.2
LNU04000000,1994,M05,1994 May,5.9
LNU04000000,1994,M06,1994 June,6.2
LNU04000000,1994,M07,1994 July,6.2
LNU04000000,1994,M08,1994 August,5.9
LNU04000000,1994,M09,1994 September,5.6
LNU04000000,1994,M10,1994 October,5.4
LNU04000000,1994,M11,1994 November,5.3
LNU04000000,1994,M12,1994 December,5.1
LNU04000000,1995,M01,1995 January,6.2
LNU04000000,1995,M02,1995 February,5.9
LNU04000000,1995,M03,1995 March,5.7
LNU04000000,1995,M04,1995 April,5.6
LNU04000000,1995,M05,1995 May,5.5
LNU04000000,1995,M06,1995 June,5.8
LNU04000000,1995,M07,1995 July,5.9
LNU04000000,1995,M08,1995 August,5.6
LNU04000000,1995,M09,1995 September,5.4
LNU04000000,1995,M10,1995 October,5.2
LNU04000000,1995,M11,1995 November,5.3
LNU04000000,1995,M12,1995 December,5.2
LNU04000000,1996,M01,1996 January,6.3
LNU04000000,1996,M02,1996 February,6
LNU04000000,1996,M03,1996 March,5.8
LNU04000000,1996,M04,1996 April,5.4
LNU04000000,1996,M05,1996 May,5.4
LNU04000000,1996,M06,1996 June,5.5
LNU04000000,1996,M07,1996 July,5.6
LNU04000000,1996,M08,1996 August,5.1
LNU04000000,1996,M09,1996 September,5
LNU04000000,1996,M10,1996 October,4.9
LNU04000000,1996,M11,1996 November,5
LNU04000000,1996,M12,1996 December,5
LNU04000000,1997,M01,1997 January,5.9
LNU04000000,1997,M02,1997 February,5.7
LNU04000000,1997,M03,1997 March,5.5
LNU04000000,1997,M04,1997 April,4.8
LNU04000000,1997,M05,1997 May,4.7
LNU04000000,1997,M06,1997 June,5.2
LNU04000000,1997,M07,1997 July,5
LNU04000000,1997,M08,1997 August,4.8
LNU04000000,1997,M09,1997 September,4.7
LNU04000000,1997,M10,1997 October,4.4
LNU04000000,1997,M11,1997 November,4.3
LNU04000000,1997,M12,1997 December,4.4
LNU04000000,1998,M01,1998 January,5.2
LNU04000000,1998,M02,1998 February,5
LNU04000000,1998,M03,1998 March,5
LNU04000000,1998,M04,1998 April,4.1
LNU04000000,1998,M05,1998 May,4.2
LNU04000000,1998,M06,1998 June,4.7
LNU04000000,1998,M07,1998 July,4.7
LNU04000000,1998,M08,1998 August,4.5
LNU04000000,1998,M09,1998 September,4.4
LNU04000000,1998,M10,1998 October,4.2
LNU04000000,1998,M11,1998 November,4.1
LNU04000000,1998,M12,1998 December,4
LNU04000000,1999,M01,1999 January,4.8
LNU04000000,1999,M02,1999 February,4.7
LNU04000000,1999,M03,1999 March,4.4
LNU04000000,1999,M04,1999 April,4.1
LNU04000000,1999,M05,1999 May,4
LNU04000000,1999,M06,1999 June,4.5
LNU04000000,1999,M07,1999 July,4.5
LNU04000000,1999,M08,1999 August,4.2
LNU04000000,1999,M09,1999 September,4.1
LNU04000000,1999,M10,1999 October,3.8
LNU04000000,1999,M11,1999 November,3.8
LNU04000000,1999,M12,1999 December,3.7
LNU04000000,2000,M01,2000 January,4.5
LNU04000000,2000,M02,2000 February,4.4
LNU04000000,2000,M03,2000 March,4.3
LNU04000000,2000,M04,2000 April,3.7
LNU04000000,2000,M05,2000 May,3.8
LNU04000000,2000,M06,2000 June,4.1
LNU04000000,2000,M07,2000 July,4.2
LNU04000000,2000,M08,2000 August,4.1
LNU04000000,2000,M09,2000 September,3.8
LNU04000000,2000,M10,2000 October,3.6
LNU04000000,2000,M11,2000 November,3.7
LNU04000000,2000,M12,2000 December,3.7
LNU04000000,2001,M01,2001 January,4.7
